x,y,no,estacao
0,0,0,0
-36,107,149,0
77,89,43,1
43,-27,25,0
43,-23,35,0
92,-20,123,1
-11,112,15,1
37,-44,27,1
-51,102,93,0
-6,126,18,1
23,14,52,0
-44,88,138,0
-56,97,78,1
17,-1,61,0
115,7,72,0
82,-27,126,1
0,0,0,0
