x,y,no,estacao
0,0,0,0
57,-20,136,0
15,70,105,0
6,111,9,1
86,86,50,0
-92,86,96,1
95,88,41,1
-57,100,79,0
-86,87,94,1
99,81,44,0
106,-5,68,1
-66,95,89,0
-50,96,81,0
-57,96,86,1
20,70,102,0
-34,111,142,1
92,-26,115,1
-82,78,95,1
8,51,107,0
0,0,0,0
