x,y,no,estacao
0,0,0,0
21,66,100,0
14,3,64,0
-4,106,1,0
-11,105,7,1
19,1,63,0
38,-2,137,0
90,-17,129,1
-53,106,85,1
91,-18,117,0
48,-27,30,1
-12,115,3,0
84,87,51,1
83,-28,121,0
19,57,104,1
80,-28,116,0
0,0,0,0
