x,y,no,estacao
0,0,0,0
99,21,67,0
81,84,46,1
-47,111,143,0
13,10,58,1
35,-41,29,0
-37,98,140,1
45,-41,32,1
90,69,40,0
-25,97,147,1
49,-4,130,0
-57,100,84,1
0,0,0,0
