x,y,no,estacao
0,0,0,0
76,-15,119,0
8,59,101,0
3,54,108,0
-51,104,90,0
-56,96,77,1
20,55,106,0
58,-6,131,1
-46,111,148,1
65,-13,135,1
-11,106,2,0
17,-1,56,1
44,-31,24,0
54,-15,133,0
64,-7,132,0
8,118,11,1
0,0,0,0
