x,y,no,estacao
0,0,0,0
4,123,4,0
-54,101,80,1
92,-28,114,1
13,59,99,0
8,107,8,0
-39,110,141,1
102,85,39,0
77,69,47,0
93,-24,118,0
88,-29,125,1
28,-36,22,0
88,-33,120,1
-61,98,88,1
12,53,110,0
11,0,62,0
0,0,0,0
