x,y,no,estacao
0,0,0,0
16,3,57,0
43,-36,33,0
99,80,45,1
6,67,98,0
-64,103,82,1
23,11,59,0
0,125,10,1
33,-24,37,0
3,65,111,0
18,68,109,1
0,0,0,0
