x,y,no,estacao
0,0,0,0
86,85,48,0
32,-41,36,1
45,-22,26,0
-28,105,144,1
124,8,69,1
-5,109,14,1
26,-44,21,0
13,4,53,1
-38,98,145,0
-67,106,92,1
88,-13,127,1
19,52,113,0
0,0,0,0
