x,y,no,estacao
0,0,0,0
-62,95,91,0
32,-23,28,1
4,62,112,0
30,-39,23,1
6,106,16,1
126,4,71,1
-67,90,76,1
41,-35,31,0
82,-29,124,0
18,-3,65,1
26,-33,19,0
7,113,5,1
0,0,0,0
